State Code,State,Claim Amount,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Claim Reason,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,ResponseNumeric
KS,Kansas,276.3519279,No,Basic,Bachelor,2/24/2011,Employed,F,56274,Suburban,Married,69,32,5,0,1,Corporate Auto,Corporate L3,Collision,Agent,384.811147,Two-Door Car,Medsize,0
NE,Nebraska,697.9535903,No,Extended,Bachelor,1/31/2011,Unemployed,F,0,Suburban,Single,94,13,42,0,8,Personal Auto,Personal L3,Scratch/Dent,Agent,1131.464935,Four-Door Car,Medsize,0
OK,Oklahoma,1288.743165,No,Premium,Bachelor,2/19/2011,Employed,F,48767,Suburban,Married,108,18,38,0,2,Personal Auto,Personal L3,Collision,Agent,566.472247,Two-Door Car,Medsize,0
MO,Missouri,764.5861827,No,Basic,Bachelor,1/20/2011,Unemployed,M,0,Suburban,Married,106,18,65,0,7,Corporate Auto,Corporate L2,Collision,Call Center,529.881344,SUV,Medsize,0
KS,Kansas,281.3692575,No,Basic,Bachelor,2/3/2011,Employed,M,43836,Rural,Single,73,12,44,0,1,Personal Auto,Personal L1,Collision,Agent,138.130879,Four-Door Car,Medsize,0
IA,Iowa,825.62978,Yes,Basic,Bachelor,1/25/2011,Employed,F,62902,Rural,Married,69,14,94,0,2,Personal Auto,Personal L3,Hail,Web,159.383042,Two-Door Car,Medsize,1
IA,Iowa,538.0898636,Yes,Basic,College,2/24/2011,Employed,F,55350,Suburban,Married,67,0,13,0,9,Corporate Auto,Corporate L3,Collision,Agent,321.6,Four-Door Car,Medsize,1
NE,Nebraska,721.6100311,No,Premium,Master,1/18/2011,Unemployed,M,0,Urban,Single,101,0,68,0,4,Corporate Auto,Corporate L3,Collision,Agent,363.02968,Four-Door Car,Medsize,0
IA,Iowa,2412.750402,Yes,Basic,Bachelor,1/26/2011,Medical Leave,M,14072,Suburban,Divorced,71,13,3,0,2,Corporate Auto,Corporate L3,Collision,Agent,511.2,Four-Door Car,Medsize,1
IA,Iowa,738.8178085,No,Extended,College,2/17/2011,Employed,F,28812,Urban,Married,93,17,7,0,8,Special Auto,Special L2,Hail,Branch,425.527834,Four-Door Car,Medsize,0
MO,Missouri,473.8992022,No,Basic,College,2/21/2011,Unemployed,M,0,Suburban,Single,67,23,5,0,3,Personal Auto,Personal L3,Collision,Agent,482.4,Four-Door Car,Small,0
MO,Missouri,819.7197078,No,Basic,College,1/6/2011,Unemployed,F,0,Suburban,Married,110,27,87,0,3,Personal Auto,Personal L3,Hail,Agent,528,SUV,Medsize,0
MO,Missouri,879.8797003,No,Premium,Master,2/6/2011,Employed,M,77026,Urban,Married,110,9,82,2,3,Corporate Auto,Corporate L1,Hail,Agent,472.029737,Four-Door Car,Medsize,0
NE,Nebraska,881.9018934,Yes,Basic,High School or Below,1/10/2011,Employed,M,99845,Suburban,Married,110,23,25,1,8,Corporate Auto,Corporate L3,Hail,Branch,528,SUV,Medsize,1
MO,Missouri,538.4431665,No,Basic,College,1/18/2011,Employed,M,83689,Urban,Single,70,21,10,2,8,Corporate Auto,Corporate L3,Other,Call Center,307.139132,Four-Door Car,Medsize,0
IA,Iowa,746.3139377,No,Basic,Bachelor,1/17/2011,Employed,F,24599,Rural,Married,64,12,50,1,2,Corporate Auto,Corporate L2,Hail,Branch,42.920271,Four-Door Car,Medsize,0
OK,Oklahoma,256.6867823,No,Basic,High School or Below,2/6/2011,Medical Leave,M,25049,Suburban,Married,67,14,7,0,1,Personal Auto,Personal L3,Hail,Call Center,454.245098,Two-Door Car,Medsize,0
MO,Missouri,394.5241604,No,Basic,College,1/5/2011,Medical Leave,M,28855,Suburban,Married,101,12,59,0,1,Personal Auto,Personal L2,Scratch/Dent,Call Center,647.442031,SUV,Medsize,0
IA,Iowa,571.0333115,No,Basic,College,2/27/2011,Employed,M,51148,Urban,Married,72,9,1,0,7,Personal Auto,Personal L2,Hail,Branch,308.981664,Four-Door Car,Medsize,0
MO,Missouri,816.2617053,No,Premium,High School or Below,1/14/2011,Employed,F,66140,Suburban,Married,101,11,21,0,3,Corporate Auto,Corporate L2,Collision,Call Center,484.8,Four-Door Car,Small,0
IA,Iowa,287.2051273,No,Basic,High School or Below,2/19/2011,Employed,M,57749,Suburban,Single,74,31,21,0,1,Personal Auto,Personal L2,Collision,Branch,355.2,Two-Door Car,Medsize,0
KS,Kansas,304.1791561,No,Extended,Bachelor,1/21/2011,Disabled,F,13789,Suburban,Divorced,79,8,49,0,1,Personal Auto,Personal L3,Other,Call Center,379.2,Four-Door Car,Medsize,0
NE,Nebraska,2412.750402,Yes,Basic,Bachelor,1/26/2011,Medical Leave,M,14072,Suburban,Divorced,71,13,3,0,2,Personal Auto,Personal L3,Collision,Agent,511.2,Four-Door Car,Medsize,1
OK,Oklahoma,245.0190996,No,Basic,Bachelor,2/24/2011,Unemployed,F,0,Suburban,Single,73,4,44,3,1,Corporate Auto,Corporate L3,Collision,Branch,554.376763,Four-Door Car,Medsize,0
MO,Missouri,239.210789,No,Basic,Bachelor,2/5/2011,Disabled,F,17870,Suburban,Married,61,30,91,0,1,Corporate Auto,Corporate L2,Hail,Branch,439.2,Four-Door Car,Medsize,0
IA,Iowa,580.2065978,No,Basic,College,1/29/2011,Employed,M,97541,Suburban,Married,72,22,1,0,3,Personal Auto,Personal L3,Hail,Call Center,389.185006,Four-Door Car,Large,0
MO,Missouri,394.6372085,No,Premium,Bachelor,2/28/2011,Unemployed,F,0,Suburban,Single,111,15,47,0,1,Personal Auto,Personal L3,Collision,Agent,799.2,Four-Door Car,Small,0
KS,Kansas,534.6916576,No,Extended,Master,2/12/2011,Disabled,F,10511,Urban,Married,139,33,64,0,1,Corporate Auto,Corporate L1,Collision,Branch,516.237951,SUV,Medsize,0
NE,Nebraska,1290.256014,No,Premium,College,2/2/2011,Employed,F,86584,Suburban,Single,111,33,54,2,2,Personal Auto,Personal L3,Collision,Call Center,532.8,Four-Door Car,Large,0
IA,Iowa,323.5360468,No,Extended,Master,2/7/2011,Employed,F,75690,Suburban,Married,80,17,44,1,1,Personal Auto,Personal L3,Hail,Branch,384,Four-Door Car,Small,0
NE,Nebraska,245.458354,No,Basic,College,2/28/2011,Employed,M,23158,Suburban,Married,63,4,6,1,1,Personal Auto,Personal L2,Other,Call Center,322.294043,Four-Door Car,Small,0
OK,Oklahoma,1897.545611,No,Extended,High School or Below,1/22/2011,Employed,M,65999,Urban,Married,237,1,14,0,6,Corporate Auto,Corporate L2,Hail,Agent,615.927769,Luxury SUV,Medsize,0
MO,Missouri,471.5321344,No,Basic,Bachelor,1/25/2011,Unemployed,M,0,Urban,Married,65,19,56,0,3,Personal Auto,Personal L3,Collision,Call Center,308.15089,Four-Door Car,Medsize,0
KS,Kansas,501.8885233,No,Basic,Bachelor,1/18/2011,Employed,M,54500,Suburban,Married,63,28,17,0,6,Corporate Auto,Corporate L2,Collision,Agent,302.4,Two-Door Car,Small,0
IA,Iowa,493.2916345,No,Basic,Bachelor,2/13/2011,Employed,F,37260,Rural,Married,62,19,42,0,8,Corporate Auto,Corporate L1,Scratch/Dent,Web,15.437681,Four-Door Car,Medsize,0
NE,Nebraska,574.4229745,No,Basic,High School or Below,1/15/2011,Employed,F,68987,Urban,Married,71,11,40,0,6,Personal Auto,Personal L1,Collision,Branch,204.475147,Four-Door Car,Medsize,0
MO,Missouri,1389.173567,No,Premium,Bachelor,1/8/2011,Employed,M,42305,Suburban,Married,117,10,62,0,2,Personal Auto,Personal L3,Collision,Agent,561.6,Four-Door Car,Small,0
IA,Iowa,738.0976717,No,Extended,Master,2/6/2011,Employed,F,65706,Suburban,Married,91,19,86,0,8,Personal Auto,Personal L3,Hail,Web,436.8,Four-Door Car,Small,0
IA,Iowa,309.0034104,No,Extended,Bachelor,1/25/2011,Unemployed,M,0,Suburban,Single,90,7,79,0,1,Personal Auto,Personal L2,Scratch/Dent,Agent,648,Two-Door Car,Small,0
NE,Nebraska,252.1633095,No,Basic,High School or Below,2/7/2011,Employed,M,53243,Rural,Divorced,66,4,15,2,1,Personal Auto,Personal L3,Collision,Call Center,157.397849,Four-Door Car,Medsize,0
OK,Oklahoma,265.2061785,No,Basic,High School or Below,1/18/2011,Unemployed,F,0,Suburban,Married,70,7,1,1,1,Corporate Auto,Corporate L3,Scratch/Dent,Call Center,484.318536,Two-Door Car,Medsize,0
IA,Iowa,277.1045031,Yes,Basic,College,1/11/2011,Employed,F,50071,Rural,Single,71,3,32,0,1,Corporate Auto,Corporate L3,Hail,Agent,18.918935,Two-Door Car,Medsize,1
MO,Missouri,393.900637,Yes,Extended,Bachelor,1/28/2011,Employed,F,60021,Suburban,Married,99,12,28,0,1,Personal Auto,Personal L2,Hail,Agent,882.871945,Four-Door Car,Small,1
NE,Nebraska,1223.187968,No,Basic,High School or Below,2/8/2011,Employed,M,43244,Suburban,Married,103,15,16,0,2,Personal Auto,Personal L2,Other,Agent,494.4,Sports Car,Medsize,0
KS,Kansas,244.3665166,No,Basic,College,2/23/2011,Employed,M,92834,Suburban,Married,61,15,56,0,1,Special Auto,Special L2,Hail,Call Center,292.8,Four-Door Car,Large,0
IA,Iowa,1281.910289,No,Premium,Doctor,1/25/2011,Disabled,F,10105,Rural,Married,172,5,4,3,3,Personal Auto,Personal L2,Collision,Branch,0.517753,SUV,Medsize,0
NE,Nebraska,446.8510542,No,Basic,Bachelor,1/31/2011,Unemployed,M,0,Suburban,Single,73,7,57,3,5,Personal Auto,Personal L3,Scratch/Dent,Call Center,579.165954,Four-Door Car,Medsize,0
IA,Iowa,551.4344018,No,Basic,High School or Below,1/2/2011,Employed,F,23218,Suburban,Single,71,7,10,0,4,Personal Auto,Personal L2,Other,Agent,447.79344,Two-Door Car,Medsize,0
MO,Missouri,334.3875326,No,Extended,Bachelor,2/7/2011,Unemployed,F,0,Suburban,Married,92,11,77,0,1,Corporate Auto,Corporate L2,Hail,Call Center,529.624084,Four-Door Car,Medsize,0
NE,Nebraska,229.4478927,No,Basic,High School or Below,1/18/2011,Unemployed,F,0,Suburban,Married,62,11,56,0,1,Personal Auto,Personal L2,Other,Branch,313.023175,Four-Door Car,Medsize,0
IA,Iowa,3670.742639,No,Basic,College,1/17/2011,Employed,M,24804,Suburban,Married,104,1,28,0,2,Personal Auto,Personal L2,Collision,Agent,593.830288,SUV,Small,0
MO,Missouri,3347.334946,Yes,Basic,Bachelor,1/11/2011,Employed,F,33190,Suburban,Divorced,106,18,95,0,2,Corporate Auto,Corporate L1,Collision,Web,508.8,SUV,Medsize,1
OK,Oklahoma,798.3431709,No,Basic,High School or Below,2/21/2011,Employed,F,36014,Rural,Married,69,4,40,3,2,Special Auto,Special L1,Other,Branch,173.956072,Four-Door Car,Medsize,0
KS,Kansas,485.4745666,No,Basic,Bachelor,2/16/2011,Employed,M,29834,Suburban,Single,64,19,44,0,3,Personal Auto,Personal L3,Other,Agent,307.2,Four-Door Car,Medsize,0
MO,Missouri,429.3997319,No,Premium,Bachelor,1/17/2011,Disabled,M,16701,Suburban,Married,113,20,26,0,1,Personal Auto,Personal L2,Collision,Branch,831.625979,Four-Door Car,Small,0
NE,Nebraska,716.4395543,No,Extended,College,2/5/2011,Employed,F,46623,Suburban,Divorced,91,1,53,0,3,Corporate Auto,Corporate L3,Scratch/Dent,Call Center,436.8,Four-Door Car,Small,0
MO,Missouri,761.95158,No,Basic,College,2/13/2011,Employed,M,64749,Urban,Married,64,24,59,0,2,Special Auto,Special L2,Hail,Branch,302.56519,Four-Door Car,Medsize,0
NE,Nebraska,395.8002823,No,Basic,High School or Below,2/23/2011,Unemployed,F,0,Suburban,Married,101,29,12,0,1,Personal Auto,Personal L2,Collision,Call Center,484.8,SUV,Small,0
IA,Iowa,449.9493252,No,Extended,High School or Below,1/28/2011,Disabled,F,16969,Suburban,Divorced,124,34,47,2,1,Personal Auto,Personal L3,Collision,Call Center,704.768111,SUV,Medsize,0
IA,Iowa,405.9567414,No,Premium,Master,2/28/2011,Disabled,F,11621,Suburban,Divorced,108,4,98,0,1,Personal Auto,Personal L1,Collision,Agent,518.4,Four-Door Car,Medsize,0
NE,Nebraska,445.8113369,Yes,Basic,Bachelor,1/2/2011,Retired,M,17622,Suburban,Divorced,65,1,36,1,3,Personal Auto,Personal L1,Collision,Agent,312,Four-Door Car,Medsize,1
MO,Missouri,811.0333139,No,Premium,Bachelor,1/22/2011,Medical Leave,F,11489,Suburban,Married,105,4,50,0,6,Personal Auto,Personal L3,Collision,Call Center,504,Two-Door Car,Small,0
IA,Iowa,333.9764873,No,Extended,Bachelor,1/15/2011,Unemployed,M,0,Suburban,Single,94,20,53,0,1,Personal Auto,Personal L3,Collision,Agent,863.327324,Two-Door Car,Small,0
MO,Missouri,2426.101777,No,Basic,High School or Below,1/27/2011,Employed,F,66525,Rural,Married,100,0,86,0,2,Personal Auto,Personal L3,Collision,Agent,104.331355,SUV,Medsize,0
NE,Nebraska,661.3973653,No,Basic,Bachelor,1/23/2011,Unemployed,F,0,Suburban,Single,63,21,28,0,2,Personal Auto,Personal L3,Scratch/Dent,Branch,676.391482,Four-Door Car,Large,0
KS,Kansas,293.0693543,No,Basic,College,1/31/2011,Employed,M,33663,Suburban,Married,73,29,71,0,1,Personal Auto,Personal L3,Scratch/Dent,Web,350.4,Four-Door Car,Medsize,0
IA,Iowa,867.2194272,No,Basic,College,1/26/2011,Employed,F,22547,Suburban,Divorced,112,7,60,0,3,Corporate Auto,Corporate L3,Collision,Agent,537.6,SUV,Medsize,0
NE,Nebraska,1163.866926,No,Extended,High School or Below,1/10/2011,Employed,F,61486,Urban,Married,97,5,65,0,2,Personal Auto,Personal L3,Other,Branch,465.258644,Two-Door Car,Small,0
IA,Iowa,684.6150323,Yes,Extended,Bachelor,1/27/2011,Unemployed,F,0,Suburban,Divorced,95,13,20,0,5,Personal Auto,Personal L3,Collision,Call Center,456,Two-Door Car,Large,1
MO,Missouri,1172.777648,No,Premium,College,1/9/2011,Disabled,F,29879,Suburban,Married,102,17,0,0,2,Personal Auto,Personal L3,Scratch/Dent,Web,500.254235,Four-Door Car,Medsize,0
IA,Iowa,2264.383478,No,Basic,High School or Below,2/24/2011,Employed,M,93011,Rural,Divorced,113,17,12,0,2,Personal Auto,Personal L3,Other,Agent,281.451042,SUV,Medsize,0
IA,Iowa,261.4474305,No,Basic,Master,2/11/2011,Employed,M,65186,Rural,Married,65,29,27,0,1,Personal Auto,Personal L2,Hail,Web,5.434505,Two-Door Car,Large,0
IA,Iowa,245.1752695,No,Basic,Master,2/12/2011,Medical Leave,M,26840,Suburban,Married,64,1,47,2,1,Personal Auto,Personal L1,Collision,Agent,307.2,Four-Door Car,Medsize,0
IA,Iowa,678.1270203,No,Basic,Bachelor,2/4/2011,Unemployed,M,0,Suburban,Single,104,30,3,1,5,Personal Auto,Personal L3,Collision,Agent,982.399613,Sports Car,Medsize,0
IA,Iowa,497.4801539,Yes,Basic,Bachelor,1/18/2011,Employed,M,75644,Suburban,Divorced,65,5,68,3,9,Personal Auto,Personal L3,Hail,Branch,467.803638,Two-Door Car,Medsize,1
IA,Iowa,859.1604933,No,Basic,Bachelor,2/11/2011,Employed,M,38984,Suburban,Married,73,27,38,0,2,Personal Auto,Personal L3,Hail,Branch,350.4,Four-Door Car,Small,0
IA,Iowa,559.2161392,No,Basic,High School or Below,2/1/2011,Employed,F,71811,Rural,Single,71,17,48,0,6,Personal Auto,Personal L1,Hail,Call Center,29.03416,Four-Door Car,Medsize,0
OK,Oklahoma,800.9472833,No,Basic,College,2/15/2011,Employed,M,20961,Suburban,Married,67,20,33,0,2,Personal Auto,Personal L1,Hail,Agent,321.6,Four-Door Car,Medsize,0
KS,Kansas,1131.808982,No,Extended,College,2/6/2011,Employed,M,38923,Rural,Married,99,6,83,2,2,Personal Auto,Personal L3,Collision,Agent,115.728852,Four-Door Car,Medsize,0
