State,Liability,Collision,Comprehensive,Average Expenditure,Rank
Alabama,353.91,297.16,132.14,651.24,37
Alaska,553.59,370.39,145.99,890.35,13
Arizona,471.17,263.49,198.05,804.05,18
Arkansas,367.58,288.97,165.41,662.42,35
California,444.9,338.21,100.27,745.74,21
Colorado,446.62,254.24,143.17,730.42,25
Connecticut,608.62,335.85,121.46,965.22,8
Delaware,727.22,285.33,106.06,"1,030.98",6
District of Columbia,613.96,433.44,229.84,"1,133.87",2
Florida,745.26,254.85,114.26,"1,036.76",5
Georgia,431.35,328.49,154.3,749.09,20
Hawaii,476.32,298.66,106.19,765.83,19
Idaho,330.41,218.25,110.05,547.78,48
Illinois,418.74,282.92,110.8,732.56,24
Indiana,365.41,242.13,109.12,624.86,41
Iowa,287.92,198.18,158.53,546.59,49
Kansas,326.65,247.38,203.73,625.17,40
Kentucky,478.68,250.52,123.52,722.66,27
Louisiana,684.9,398.57,211.46,"1,121.46",3
Maine,327.3,251,92.32,582.29,47
Maryland,578.82,321.07,141.87,947.7,9
Massachusetts,540.71,302.11,115.07,890.83,12
Michigan,544.2,381.71,147.6,934.6,10
Minnesota,413.56,201.93,161.47,693.08,32
Mississippi,419.59,301.4,180.85,745.17,22
Missouri,386.99,249.95,157.59,678.04,33
Montana,391.72,239.88,185.47,656.47,36
Nebraska,337.55,208.98,174.55,592.69,46
Nevada,624.28,306.87,128.75,930.72,11
New Hampshire,386.07,267.53,96.24,706.24,29
New Jersey,804.96,347.52,123.96,"1,157.30",1
New Mexico,431.94,280.82,175.74,703.9,30
New York,723.78,340.43,143.49,"1,078.88",4
North Carolina,363.67,232.31,111.09,599.9,45
North Dakota,250.41,198.18,220.9,528.81,50
Ohio,357.83,236.85,104.46,619.46,43
Oklahoma,407.63,283.9,170.92,700.35,31
Oregon,499.07,216.63,91.46,724.42,26
Pennsylvania,486.72,299.37,120.49,812.15,17
Rhode Island,664.77,351.47,116.93,984.95,7
South Carolina,461.39,240.29,147.96,737.74,23
South Dakota,274.51,183.82,195.55,525.16,51
Tennessee,370.64,265.71,121.89,641.17,38
Texas,479.43,350.18,183.97,848.11,14
Utah,451.92,261.06,105.08,717.25,28
Vermont,333.39,270.21,109.54,630.19,39
Virginia,391.92,253.35,119.09,673.62,34
Washington,544.55,245.84,108.43,815.27,16
West Virginia,504.54,299.11,182.54,830.1,15
Wisconsin,362.92,203.67,116.34,613.37,44
Wyoming,319.15,267.94,199.63,621.08,42
United States,484.03,290.29,133.06,791.22,0
