State,Median Income,Standard Deviation
United States,"57,904",382
Alabama,"48,100","2,816"
Alaska,"67,977","2,808"
Arizona,"55,107","2,617"
Arkansas,"45,343","2,895"
California,"63,788","1,389"
Colorado,"70,779","2,915"
Connecticut,"77,554","2,462"
Delaware,"64,882","2,650"
District of Columbia,"66,896","3,917"
Florida,"51,782","1,814"
Georgia,"51,842","2,141"
Hawaii,"69,964","3,209"
Idaho,"55,288","2,196"
Illinois,"59,610","1,732"
Indiana,"54,218","3,024"
Iowa,"57,598","1,577"
Kansas,"54,118","2,134"
Kentucky,"48,301","3,317"
Louisiana,"46,181","3,817"
Maine,"56,323","1,982"
Maryland,"75,442","2,699"
Massachusetts,"71,603","2,577"
Michigan,"54,379","2,041"
Minnesota,"61,482","1,887"
Mississippi,"44,842","3,326"
Missouri,"53,839","2,535"
Montana,"48,508","2,170"
Nebraska,"61,697","2,069"
Nevada,"60,165","2,259"
New Hampshire,"78,300","1,940"
New Jersey,"73,993","2,871"
New Mexico,"53,037","3,544"
New York,"58,497","1,551"
North Carolina,"51,504","2,260"
North Dakota,"59,937","2,716"
Ohio,"53,920","1,754"
Oklahoma,"50,650","2,436"
Oregon,"59,462","1,769"
Pennsylvania,"56,773","1,772"
Rhode Island,"60,662","2,033"
South Carolina,"48,999","1,716"
South Dakota,"53,293","2,403"
Tennessee,"45,348","1,477"
Texas,"55,542","1,362"
Utah,"66,629","2,306"
Vermont,"65,721","2,640"
Virginia,"70,937","2,309"
Washington,"65,997","2,421"
West Virginia,"50,267","2,959"
Wisconsin,"59,167","1,686"
Wyoming,"61,341","2,563"
