State,Pop 16+,Male,Female,18 to 24 years,25 to 44 years,45 to 64 years,65 years and over,Median Age
Alabama,3781800,1810745,1971055,479175,1228423,1281887,657792,37.9
Alaska,544208,284293,259915,74881,196099,196935,54938,33.8
Arizona,4944481,2437034,2507447,633211,1679187,1568774,881831,35.9
Arkansas,2284744,1108864,1175880,284105,742100,758257,419981,37.4
California,29079048,14337992,14741056,3922951,10500587,9288864,4246514,35.2
Colorado,3937831,1962109,1975722,487698,1425922,1340342,549625,36.1
Connecticut,2859207,1373924,1485283,326659,904815,1019049,506559,40
Delaware,716853,342696,374157,90905,227504,244483,129277,38.8
District of Columbia,512575,239203,273372,87015,205404,139680,68809,33.8
Florida,15283266,7391989,7891277,1739657,4720799,5079161,3259602,40.7
Georgia,7478195,3601334,3876861,970157,2733100,2460809,1032035,35.3
Hawaii,1091079,543085,547994,130312,361706,369327,195138,38.6
Idaho,1184858,589075,595783,154418,400574,388850,194668,34.6
Illinois,10072849,4884648,5188201,1246307,3501847,3344086,1609213,36.6
Indiana,5061394,2462243,2599151,650310,1668175,1715911,841108,37
Iowa,2402200,1178244,1223956,305867,747131,812476,452888,38.1
Kansas,2206600,1084540,1122060,288159,724393,737511,376116,36
Kentucky,3432660,1670520,1762140,412801,1142878,1182090,578227,38.1
Louisiana,3544274,1714324,1829950,474531,1193032,1189937,557857,35.8
Maine,1089252,527315,561937,116072,316000,410676,211080,42.7
Maryland,4584109,2185344,2398765,557360,1557614,1597972,707642,38
Massachusetts,5303787,2531101,2772686,677888,1732290,1815804,902724,39.1
Michigan,7832236,3798521,4033715,973889,2442123,2762030,1361530,38.9
Minnesota,4168319,2051872,2116447,502799,1396680,1437262,683121,37.4
Mississippi,2299852,1100634,1199218,304834,762200,764301,380407,36
Missouri,4730501,2289523,2440978,589264,1524083,1611850,838294,37.9
Montana,792520,395598,396922,94611,235809,288690,146742,39.8
Nebraska,1417810,697101,720709,182527,466014,471902,246677,36.2
Nevada,2109730,1061342,1048388,248829,770329,692026,324359,36.3
New Hampshire,1066277,521320,544957,123114,323650,404204,178268,41.1
New Jersey,6976489,3351572,3624917,767228,2348098,2425361,1185993,39
New Mexico,1600398,783804,816594,203539,515768,548945,272255,36.7
New York,15588804,7441137,8147667,1983517,5269354,5182359,2617943,38
North Carolina,7510570,3610138,3900432,938618,2573744,2507407,1234079,37.4
North Dakota,539946,271997,267949,81020,165747,178476,97477,37
Ohio,9133831,4404397,4729434,1099491,2889790,3194457,1622015,38.8
Oklahoma,2924289,1433439,1490850,381186,967692,966093,506714,36.2
Oregon,3064689,1503630,1561059,358778,1023669,1048641,533533,38.4
Pennsylvania,10260299,4941116,5319183,1261381,3126788,3562748,1959307,40.1
Rhode Island,857232,408324,448908,119969,263822,292939,151881,39.4
South Carolina,3669965,1763417,1906548,476445,1193348,1243223,631874,37.9
South Dakota,634183,315054,319129,81539,198541,214722,116581,36.9
Tennessee,5022781,2417135,2605646,606364,1678127,1712151,853462,38
Texas,19035255,9350891,9684364,2572969,7071855,6033027,2601886,33.6
Utah,1978979,985395,993584,318029,778162,547205,249462,29.2
Vermont,513248,250500,262748,64873,147981,192576,91078,41.5
Virginia,6362861,3089650,3273211,802099,2199347,2168964,976937,37.5
Washington,5327767,2634593,2693174,650053,1842086,1823370,827677,37.3
West Virginia,1511356,738594,772762,168999,458192,540981,297404,41.3
Wisconsin,4506907,2218662,2288245,549256,1447360,1573564,777314,38.5
Wyoming,443141,225399,217742,56429,144615,157090,70090,36.8
