STATE,POPPCT_URBAN,AREAPCT_URBAN,POPDEN_URBAN,POPPCT_RURAL,AREAPCT_RURAL,POPDEN_RURAL
Alabama,59.04,4.36,1278.5,40.96,95.64,40.4
Alaska,66.02,0.05,1802.6,33.98,99.95,0.4
Arizona,89.81,1.92,2625.4,10.19,98.08,5.8
Arkansas,56.16,2.11,1492.8,43.84,97.89,25.1
California,94.95,5.28,4303.7,5.05,94.72,12.7
Colorado,86.15,1.47,2836.1,13.85,98.53,6.8
Connecticut,87.99,37.72,1721.9,12.01,62.28,142.3
Delaware,83.3,20.88,1838.3,16.7,79.12,97.3
District of Columbia,100,100,9856.5,0,0,
Florida,91.16,13.81,2315.2,8.84,86.19,35.9
Georgia,75.07,8.34,1516,24.93,91.66,45.8
Hawaii,91.93,6.12,3180.8,8.07,93.88,18.2
Idaho,70.58,0.6,2216.8,29.42,99.4,5.6
Illinois,88.49,7.11,2877.6,11.51,92.89,28.6
Indiana,72.44,7.05,1860,27.56,92.95,53.7
Iowa,64.02,1.71,2045.8,35.98,98.29,20
Kansas,74.2,1.19,2176.5,25.8,98.81,9.1
Kentucky,58.38,3.57,1795.8,41.62,96.43,47.4
Louisiana,73.19,4.56,1685.8,26.81,95.44,29.5
Maine,38.66,1.17,1428,61.34,98.83,26.7
Maryland,87.2,20.65,2511.4,12.8,79.35,96
Massachusetts,91.97,38.29,2016.3,8.03,61.71,109.2
Michigan,74.57,6.41,2034.1,25.43,93.59,47.5
Minnesota,73.27,2.14,2279,26.73,97.86,18.2
Mississippi,49.35,2.36,1324,50.65,97.64,32.8
Missouri,70.44,2.99,2053.5,29.56,97.01,26.6
Montana,55.89,0.2,1860.8,44.11,99.8,3
Nebraska,73.13,0.68,2549.1,26.87,99.32,6.4
Nevada,94.2,0.7,3314.8,5.8,99.3,1.4
New Hampshire,60.3,7.19,1232.6,39.7,92.81,62.9
New Jersey,94.68,39.7,2851.2,5.32,60.3,105.5
New Mexico,77.43,0.68,1928.5,22.57,99.32,3.9
New York,87.87,8.68,4161.4,12.13,91.32,54.6
North Carolina,66.09,9.48,1367.2,33.91,90.52,73.5
North Dakota,59.9,0.27,2192.2,40.1,99.73,3.9
Ohio,77.92,10.82,2033.7,22.08,89.18,69.9
Oklahoma,66.24,1.9,1901.7,33.76,98.1,18.8
Oregon,81.03,1.15,2804.9,18.97,98.85,7.7
Pennsylvania,78.66,10.52,2123.4,21.34,89.48,67.7
Rhode Island,90.73,38.75,2383.8,9.27,61.25,154
South Carolina,66.33,7.92,1288.1,33.67,92.08,56.3
South Dakota,56.65,0.3,2038.3,43.35,99.7,4.7
Tennessee,66.39,7.05,1450.3,33.61,92.95,55.6
Texas,84.7,3.35,2435.3,15.3,96.65,15.2
Utah,90.58,1.11,2737.1,9.42,98.89,3.2
Vermont,38.9,1.69,1558.8,61.1,98.31,42.2
Virginia,75.45,6.75,2265.2,24.55,93.25,53.3
Washington,84.05,3.57,2380,15.95,96.43,16.7
West Virginia,48.72,2.66,1409.9,51.28,97.34,40.6
Wisconsin,70.15,3.47,2123.3,29.85,96.53,32.5
Wyoming,64.76,0.2,1876.2,35.24,99.8,2
Puerto Rico,93.76,48.95,2084.3,6.24,51.05,133
