,Year,Rural Deaths,Rural Miles Traveled (Millions),Rural Death Rate,Urban Deaths,Urban Miles Traveled (Millions),Urban Death Rate,Total Deaths,Total Miles Traveled (Millions),Total Death Rate
0,1977,"28,463","654,596",4.35,"19,296","821,971",2.35,"47,878","1,476,567",3.24
1,1978,"30,018","689,953",4.35,"19,863","858,260",2.31,"50,331","1,548,213",3.25
2,1979,"29,135","670,079",4.35,"21,507","859,054",2.5,"51,093","1,529,133",3.34
3,1980,"29,114","672,030",4.33,"21,560","855,265",2.52,"51,091","1,527,295",3.35
4,1981,"27,692","688,308",4.02,"20,782","867,000",2.4,"49,301","1,555,308",3.17
5,1982,"25,005","689,226",3.63,"18,678","905,784",2.06,"43,945","1,595,010",2.76
6,1983,"24,486","700,517",3.5,"18,027","952,271",1.89,"42,589","1,652,788",2.58
7,1984,"25,636","718,132",3.57,"18,590","1,002,137",1.86,"44,257","1,720,269",2.57
8,1985,"25,185","730,728",3.45,"18,613","1,044,098",1.78,"43,825","1,774,826",2.47
9,1986,"26,484","747,780",3.54,"19,581","1,087,092",1.8,"46,087","1,834,872",2.51
10,1987,"27,131","780,450",3.48,"19,217","1,140,754",1.68,"46,390","1,921,204",2.41
11,1988,"27,793","817,534",3.4,"19,253","1,208,428",1.59,"47,087","2,025,962",2.32
12,1989,"26,392","847,225",3.12,"19,160","1,249,262",1.53,"45,582","2,096,487",2.17
13,1990,"25,761","868,878",2.96,"18,807","1,275,484",1.47,"44,599","2,144,362",2.08
14,1991,"24,328","883,553",2.75,"17,126","1,288,497",1.33,"41,508","2,172,050",1.91
15,1992,"22,821","884,097",2.58,"16,223","1,363,054",1.19,"39,250","2,247,151",1.75
16,1993,"23,459","886,706",2.65,"16,429","1,409,672",1.17,"40,150","2,296,378",1.75
17,1994,"23,841","908,341",2.62,"16,811","1,449,247",1.16,"40,716","2,357,588",1.73
18,1995,"24,449","933,285",2.62,"17,163","1,489,490",1.15,"41,817","2,422,775",1.73
19,1996,"24,561","960,194",2.56,"17,368","1,523,886",1.14,"42,065","2,484,080",1.69
20,1997,"25,135","999,920",2.51,"16,829","1,560,452",1.08,"42,013","2,560,372",1.64
21,1998,"25,185","1,033,310",2.44,"16,219","1,592,057",1.02,"41,501","2,625,367",1.58
22,1999,"25,547","1,062,623",2.4,"16,059","1,627,618",0.99,"41,717","2,690,241",1.55
23,2000,"24,835","1,083,152",2.29,"16,116","1,663,773",0.97,"41,945","2,746,925",1.53
24,2001,"25,148","1,110,697",2.26,"16,990","1,686,642",1.01,"42,196","2,797,339",1.51
25,2002,"25,896","1,128,160",2.3,"17,013","1,727,596",0.98,"43,005","2,855,756",1.51
26,2003,"24,957","1,085,385",2.3,"17,783","1,805,508",0.98,"42,884","2,890,893",1.48
27,2004,"25,179","1,070,248",2.35,"17,581","1,892,265",0.93,"42,836","2,962,513",1.45
28,2005,"24,587","1,037,937",2.37,"18,627","1,951,870",0.95,"43,510","2,989,807",1.46
29,2006,"23,646","1,037,069",2.28,"18,791","1,977,047",0.95,"42,708","3,014,116",1.42
30,2007,"23,254","1,035,303",2.25,"17,908","1,994,519",0.9,"41,259","3,029,822",1.36
31,2008,"20,987","990,418",2.12,"16,218","1,983,091",0.82,"37,423","2,973,509",1.26
32,2009,"19,323","982,180",1.97,"14,501","1,974,583",0.73,"33,883","2,956,763",1.15
33,2010,"18,089","984,065",1.84,"14,659","1,983,200",0.74,"32,999","2,967,265",1.11
34,2011,"17,769","974,038",1.82,"14,575","1,972,094",0.74,"32,479","2,946,132",1.1
35,2012,"18,367","977,078",1.88,"15,371","1,992,355",0.77,"33,782","2,969,433",1.14
36,2013,"17,740","941,912",1.88,"15,119","2,046,369",0.74,"32,894","2,988,281",1.1
37,2014,"16,791","920,928",1.82,"15,917","2,104,728",0.76,"32,744","3,025,656",1.08
38,2015,"17,572","928,905",1.89,"16,830","2,166,468",0.78,"35,485","3,095,373",1.15
39,2016,"18,321","949,545",1.93,"19,357","2,224,863",0.87,"37,806","3,174,408",1.19
40,2017,"17,405","963,206",1.81,"19,976","2,249,142",0.89,"37,473","3,212,348",1.17
41,2018,"16,323","978,802",1.67,"20,408","2,261,525",0.9,"36,835","3,240,327",1.14
42,2019,"16,340","983,853",1.66,"19,595","2,277,919",0.86,"36,096","3,261,772",1.11
